Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
3326,14750,250,44100,0.1370172258992495,-0.3648493078871267,413.1564520904558,-0.9516540578594268,0.00891339831434964,(0.1279984150284249-0.04888891431947616j),(2595.9385493411983-5.979418793860183j),(0.9981326230114076-0.05882285431364201j),49,0.3344671201814059,-0.00018397066100314915,1
3507,15000,250,44100,0.1300886423195885,-2.5110380493502995,412.3044638666076,0.9625399308759116,0.008599359427947586,(-0.10507267990277161-0.07669932723696819j),(2590.5853494512253+6.047816751253183j),(0.9984120122476859-0.05871770449104695j),50,0.3401360544217687,0.0007258961960412058,1
3679,15500,250,44100,0.1262357570084387,-0.5295936455615949,414.2988951470071,-0.8221056360195358,0.007600333246757114,(0.10894302677643014-0.06377211980390511j),(2603.116730768411-5.165442053187476j),(0.9981414582088467-0.058986408866528124j),51,0.35147392290249435,0.009786835817734544,1
3819,15750,250,44100,0.1213996905447563,-2.7132431579289293,413.64957068651296,-0.156258230310235,0.007196180847355807,(-0.11043153908631623-0.05042578744442183j),(2599.0369048586417-0.9817994168111528j),(0.9982416068249185-0.05889965487357065j),52,0.35714285714285715,0.0006807939180765401,1
3956,16000,250,44100,0.1201130002448691,1.406647401409987,413.956517468242,-0.7566026967351832,0.006896799675684177,(0.01962799639945561+0.11849841596058101j),(2600.965508367688-4.7538749474989554j),(0.9981536497236847-0.058938268947740936j),53,0.36281179138321995,0.00905304269428354,1
4091,16250,250,44100,0.1172127795053525,-0.7709638507997261,414.1522698098962,-0.4180180260105526,0.006646570968053325,(0.08406961962855886-0.08167701472801166j),(2602.1954566046156-2.626484719165718j),(0.998200157703319-0.058968952014795184j),54,0.36848072562358275,0.002994779493777901,1
4215,16500,250,44100,0.1151305753510948,-2.949974463215081,413.1835793429789,-0.2686746067047242,0.006446450020578393,(-0.11302337956288508-0.021926355211437504j),(2596.1089948956756-1.6881323412593774j),(0.9982295267304516-0.058832436667481156j),55,0.3741496598639456,0.0010137060632817586,1
4364,16750,250,44100,0.1152172402366635,1.1742994692677728,413.44658574632166,-0.7668331889434996,0.006343753889189885,(0.0444956712943816+0.1062786323012081j),(2597.761512864853-4.818155025827465j),(0.998156474216891-0.058865664173271125j),56,0.3798185941043084,0.0010718359082881384,1
4476,17000,250,44100,0.1133111533810946,-1.0097884564336226,413.3957038184559,-0.1898382705453853,0.006261752841003035,(0.06028604919562095-0.09594274205450419j),(2597.4418122832863-1.192789032231148j),(0.9982389606355189-0.058863266913435575j),57,0.3854875283446712,0.018105806863627207,1
4655,17250,250,44100,0.1126937578700103,3.1165900191341462,413.3348933070679,-0.1876223974528948,0.006194188062332027,(-0.11265853548306058+0.0028173472765181395j),(2597.059728571611-1.1788662909738377j),(0.9982397857438019-0.058854636720081954j),58,0.391156462585034,0.0001038176312552934,1
4834,17500,250,44100,0.1082524975826114,0.9556334447817016,412.6559139360112,0.9288010915731388,0.005947541861883954,(0.06247160187405225+0.0884075912586878j),(2592.7935753635093+5.8358293718647065j),(0.9984042715046266-0.05876741555791788j),59,0.3968253968253968,0.007284392701228327,1
4968,17750,250,44100,0.112526706396844,-1.1804100588045303,413.64065256226814,0.1997053591171599,0.006261292064925269,(0.04282154857362494-0.10406043739230691j),(2598.9808706314193+1.254785778169962j),(0.9982923099891845-0.058901373669503265j),60,0.40249433106575966,0.0004204124822761431,1
5189,18250,250,44100,0.1155929847043767,0.8452621714153289,412.10225198701175,-0.458278559659284,0.006454960786877429,(0.07670000995136259+0.08648032485095761j),(2589.3148147404117-2.8794491126466366j),(0.9982116127493756-0.058677060569623574j),61,0.41383219954648526,0.0022046525814958533,1
5510,18750,250,44100,0.1152483201997187,2.9306109587339546,411.80584652175605,0.1015319524615243,0.006544954900385485,(-0.11269278083679651+0.024135294821622792j),(2587.4524442761494+0.6379440719155061j),(0.9982937100426303-0.058639582295479185j),62,0.42517006802721086,0.0022468895845704447,1
5696,19250,250,44100,0.1176995917769207,-1.3058148002757537,411.4784057443666,-0.136632581077486,0.006768908945989115,(0.03082451551748939-0.11359156283618006j),(2585.3950731946848-0.8584878259080836j),(0.9982625703186903-0.058591021243688826j),63,0.4365079365079365,-0.00014838102707373515,1
5830,19500,250,44100,0.117926005491004,2.8913157219230485,412.338498305235,-0.1949381330958211,0.006780963119235285,(-0.11425188760043588+0.029207001742761737j),(2590.7991941359473-1.2248324136766817j),(0.998247090331307-0.05871286258197389j),64,0.4421768707482993,0.00011117837540426647,1
6046,19750,250,44100,0.1150850029684275,0.7556543091123148,412.07890873518136,0.3452287364309502,0.006583238819650143,(0.08376151173573937+0.0789212712770554j),(2589.168144763489+2.1691361243591207j),(0.9983260901142885-0.05868045804465121j),65,0.4478458049886621,0.002169317127266794,1
6177,20000,250,44100,0.1169637711440708,-1.356980270981995,413.7062532448469,0.1884848316839184,0.006762109433312718,(0.02481861201952462-0.11430030733846211j),(2599.393051876339+1.1842851250626136j),(0.9982901635009931-0.058910610041699604j),66,0.45351473922902497,0.00023590072624139297,1
6246,20250,250,44100,0.1212467008200822,2.761592670186462,413.6208362172309,-1.2957709180661294,0.006896074643557146,(-0.1125975239783359+0.044972881314216576j),(2598.856360863439-8.141568793863708j),(0.9980797934994805-0.05888600700495303j),67,0.45918367346938777,-0.004011348800789404,1
6380,20500,250,44100,0.1160704948244484,0.5958154071009772,414.1521099009475,-1.2334865342078043,0.0063336043690108345,(0.0960705249124558+0.065136886722022j),(2602.1944518670584-7.750224468338348j),(0.9980841903227817-0.05896207839065321j),68,0.46485260770975056,4.1037410403244507e-10,1
6847,21250,250,44100,0.0295224368308533,-1.8875341465171092,489.98241495240535,21.842218323360807,0.0010253317528449123,(-0.009195303662358274-0.028053888625086343j),(3078.6503104053245+137.23870524554937j),(1.0006734691615227-0.0699713861040161j),69,0.481859410430839,-0.003326615545975358,2
7245,22000,250,44100,0.091484518678513,2.3349220590199105,491.3597642460778,0.4730081682061215,0.0041790319227298705,(-0.06329869219532291+0.06605068299571902j),(3087.3044512501815+2.971997972648633j),(0.9976177468016089-0.06995444831369577j),70,0.4988662131519274,-0.00021810263122961786,2
7511,22500,250,44100,0.0972375056521672,-1.2658728122702012,489.7933045088527,0.728710814455384,0.004764485209808777,(0.02919266523154537-0.09275193152778101j),(3077.4620944449603+4.578625082568938j),(0.9976696804725251-0.06973433603396169j),71,0.5102040816326531,-0.00039024007479482255,2
7572,22750,250,44100,0.100544115730097,0.1466362671704801,489.4111292347046,-1.2396221406796544,0.004751463944070617,(0.09946509167562123+0.014690634632561074j),(3075.0608163776656-7.788775620772911j),(0.9973937278334917-0.06966047375084634j),72,0.5158730158730159,-0.0008071666852437589,2
7777,23000,250,44100,0.0966851391817758,1.5954730061043296,489.0388495870982,0.97737317416618,0.004752673437361445,(-0.0023856260397837684+0.09665570302365856j),(3072.721714365663+6.141016767552417j),(0.9977125172798501-0.06962956132838438j),73,0.5215419501133787,4.581499651702577e-6,2
7905,23250,250,44100,0.1040156135179857,3.045963303178423,483.55367765802646,1.2700062853215504,0.005558846056923005,(-0.10354036588994192+0.009931791726568752j),(3038.2573626935655+7.979684831958091j),(0.99780822932308-0.0688526938758747j),74,0.5272108843537415,0.0015435216809199484,2
7965,23500,250,44100,0.1060582869519478,-1.670725896057932,482.74866973377954,-0.6943102494690863,0.005389000863123323,(-0.010580728678259287-0.1055291827496962j),(3033.199348731774-4.362479958088356j),(0.9975369023533118-0.06871901568933896j),75,0.5328798185941043,3.079347902754852e-5,2
8081,23750,250,44100,0.1091343540715972,-0.0134404333749849,486.4797004092005,-5.209895202937263,0.004888940247793066,(0.10912449691868623-0.0014667688530864073j),(3056.6421058522155-32.73473699104082j),(0.9968586844494971-0.06920474039689366j),76,0.5385487528344671,-4.305075935510549e-5,2
8231,24000,250,44100,0.0893696267728723,1.488120081563289,482.44656171305405,-13.158789916051465,0.002549748857043557,(0.0073803305982611325+0.0890643638599798j),(3031.3011480547707-82.67911546079746j),(0.995769912893167-0.06855422579182871j),77,0.54421768707483,-0.022996443728809844,2
8366,24250,250,44100,0.0824790406443104,2.9356836076844983,488.1138691108111,-0.0397252035561039,0.003335396484589893,(-0.0807367144696339+0.016863424392887127j),(3066.909890627628-0.24960081530843062j),(0.9975771135807234-0.06948800442633339j),78,0.5498866213151927,1.2114305611661766e-6,2
8808,25000,250,44100,0.0854120785127109,0.9162100355766892,492.4059671400169,5.507301964330605,0.0043827308271694,(0.05200152974118957+0.06775739118677515j),(3093.8779379017083+34.60339878448333j),(0.9983231142134202-0.0701534516914792j),79,0.5668934240362812,0.0037837471621428188,2
