,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,f0
345,750,250,44100,0.0024163374902096,2.7082907836028167,5911.440356355196,-0.0510541210991975,5.828124498016705e-06,(-0.002193030076079981+0.0010145471659815184j),(37142.675191319424-0.32078250356144533j),(0.6657901501087288-0.7461292972164224j),0
346,750,250,44100,0.0024163374902096,-2.7082907836028167,-5911.440356355196,-0.0510541210991975,5.828124498016705e-06,(-0.002193030076079981-0.0010145471659815184j),(-37142.675191319424-0.32078250356144533j),(0.6657901501087288+0.7461292972164224j),0
347,750,250,44100,0.00291760016285,-2.7842936295259006,5289.139644518,-0.012602209551165,8.508586108733194e-06,(-0.0027333388122058678-0.001020416409095575j),(33232.64450205656-0.07918201788987833j),(0.7292462320858926-0.6842487427637385j),0
348,750,250,44100,0.00291760016285,2.7842936295259006,-5289.139644518,-0.012602209551165,8.508586108733194e-06,(-0.0027333388122058678+0.001020416409095575j),(-33232.64450205656-0.07918201788987833j),(0.7292462320858926+0.6842487427637385j),0
349,750,250,44100,0.0032170915816916,0.7566983989503623,4978.058571846933,-0.0075982548013573,1.034688889423814e-05,(0.002339168521259945+0.002208612431853469j),(31278.064476908043-0.04774124292809545j),(0.7588476566929669-0.6512665113440144j),0
350,750,250,44100,0.0032170915816916,-0.7566983989503623,-4978.058571846933,-0.0075982548013573,1.034688889423814e-05,(0.002339168521259945-0.002208612431853469j),(-31278.064476908043-0.04774124292809545j),(0.7588476566929669+0.6512665113440144j),0
351,750,250,44100,0.0060228424831871,2.2456090605196195,3422.5020313092546,-0.039162203298334,3.622428061382087e-05,(-0.0037627775007593386+0.004702779715983282j),(21504.214476914596-0.2460633803608725j),(0.8834436864621706-0.46852544602765955j),0
352,750,250,44100,0.0060228424831871,-2.2456090605196195,-3422.5020313092546,-0.039162203298334,3.622428061382087e-05,(-0.0037627775007593386-0.004702779715983282j),(-21504.214476914596-0.2460633803608725j),(0.8834436864621706+0.46852544602765955j),0
353,750,250,44100,0.0083937157138938,3.0371507437198093,2800.162264507199,-0.0052000605067058,7.044146765580514e-05,(-0.00834797751522462+0.0008750627925882548j),(17593.93839807035-0.03267294377217872j),(0.9214665487883584-0.38845581177144484j),0
354,750,250,44100,0.0083937157138938,-3.0371507437198093,-2800.162264507199,-0.0052000605067058,7.044146765580514e-05,(-0.00834797751522462-0.0008750627925882548j),(-17593.93839807035-0.03267294377217872j),(0.9214665487883584+0.38845581177144484j),0
355,750,250,44100,0.0102224696811241,0.4628266718731093,2489.023782039404,-8.131235784299697e-05,0.0001044985849365,(0.009147004779239775+0.004564119843964055j),(15638.997656530548-0.0005109006120912474j),(0.9377764815917129-0.34723946694373936j),0
356,750,250,44100,0.0102224696811241,-0.4628266718731093,-2489.023782039404,-8.131235784299697e-05,0.0001044985849365,(0.009147004779239775-0.004564119843964055j),(-15638.997656530548-0.0005109006120912474j),(0.9377764815917129+0.34723946694373936j),0
357,750,250,44100,0.022369871049583,2.805979853698469,1555.641579917334,-0.0058164427535125,0.0005003078866889,(-0.021121826026472865+0.007367468770370716j),(9774.38431817423-0.036545787648921066j),(0.9755371314169194-0.2198309528316838j),0
358,750,250,44100,0.022369871049583,-2.805979853698469,-1555.641579917334,-0.0058164427535125,0.0005003078866889,(-0.021121826026472865-0.007367468770370716j),(-9774.38431817423-0.036545787648921066j),(0.9755371314169194+0.2198309528316838j),0
