onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,0.0009438770255691525,2.8989547344769715,-20654.679157327893,-112.81031183787167,1.1261386017880386e-07,(-0.0009162285603670874+0.00022677977106639151j),(-129777.17660583105-708.8080938380626j),(-0.9646741314011353+0.19434377475054537j)
0,250,44100,0.0011206549181892313,-2.9536559438446526,20460.314555527395,-125.54058501152758,1.4293431170191362e-07,(-0.0011009222193837523-0.0002093745746953671j),(128555.94779556234-788.7947591991599j),(-0.9571854613707236-0.22057941755136687j)
0,250,44100,0.0011206549181892313,2.9536559438446526,-20460.314555527395,-125.54058501152758,1.4293431170191362e-07,(-0.0011009222193837523+0.0002093745746953671j),(-128555.94779556234-788.7947591991599j),(-0.9571854613707236+0.22057941755136687j)
0,250,44100,0.0009410996903130274,-3.066153654064577,20278.754159745047,-129.63238122349685,9.767886370823633e-08,(-0.0009384230408474065-7.092829840044661e-05j),(127415.17018441699-814.5042730381783j),(-0.9506055741653048-0.2451203650045253j)
0,250,44100,0.0009410996903130274,3.066153654064577,-20278.754159745047,-129.63238122349685,9.767886370823633e-08,(-0.0009384230408474065+7.092829840044661e-05j),(-127415.17018441699-814.5042730381783j),(-0.9506055741653048+0.2451203650045253j)
0,250,44100,0.0009205405082237252,-3.0493119824079318,20118.794886013417,-114.27091107002845,1.0577029356743226e-07,(-0.0009166237552510782-8.482758154165343e-05j),(126410.1164259593-717.9853094732279j),(-0.946842852061837-0.2673038456391258j)
0,250,44100,0.0009205405082237252,3.0493119824079318,-20118.794886013417,-114.27091107002845,1.0577029356743226e-07,(-0.0009166237552510782+8.482758154165343e-05j),(-126410.1164259593-717.9853094732279j),(-0.946842852061837+0.2673038456391258j)
0,250,44100,0.00017982794583963144,-3.1002925698184627,19805.82508640314,-49.58251266254114,8.950555528412639e-09,(-0.00017967460165141857-7.42479806496275e-06j),(124443.66917945707-311.5361150543243j),(-0.9426343010237026-0.31210782290193084j)
0,250,44100,0.00017982794583963144,3.1002925698184627,-19805.82508640314,-49.58251266254114,8.950555528412639e-09,(-0.00017967460165141857+7.42479806496275e-06j),(-124443.66917945707-311.5361150543243j),(-0.9426343010237026+0.31210782290193084j)
0,250,44100,0.001133994355516043,-3.0019658149692816,19942.8090391896,-112.3461610476847,1.6320748508974835e-07,(-0.0011229583217327113-0.0001578220706792874j),(125304.36473892433-705.8917484128441j),(-0.9401013969924865-0.2910380233106479j)
0,250,44100,0.001133994355516043,3.0019658149692816,-19942.8090391896,-112.3461610476847,1.6320748508974835e-07,(-0.0011229583217327113+0.0001578220706792874j),(-125304.36473892433-705.8917484128441j),(-0.9401013969924865+0.2910380233106479j)
0,250,44100,0.0011751749241272003,-2.6981674120786248,19708.585055140888,-139.2721867812518,1.4197020137230762e-07,(-0.0010615207172033822-0.0005041922939171008j),(123832.6920437604-875.0729576827323j),(-0.9263070491469294-0.32100867712282305j)
0,250,44100,0.0011751749241272003,2.6981674120786248,-19708.585055140888,-139.2721867812518,1.4197020137230762e-07,(-0.0010615207172033822+0.0005041922939171008j),(-123832.6920437604-875.0729576827323j),(-0.9263070491469294+0.32100867712282305j)
0,250,44100,0.0011460112401710638,-2.8464572487590045,19514.28554231494,-172.6366928954882,1.0943840227173765e-07,(-0.0010964608839784278-0.00033333960536315526j),(122611.87219958026-1084.708332281006j),(-0.912717733001765-0.3448820095790105j)
0,250,44100,0.0011460112401710638,2.8464572487590045,-19514.28554231494,-172.6366928954882,1.0943840227173765e-07,(-0.0010964608839784278+0.00033333960536315526j),(-122611.87219958026-1084.708332281006j),(-0.912717733001765+0.3448820095790105j)
0,250,44100,0.0010111212263823922,-2.9302372086039385,19326.101999265094,-193.51955167701465,7.622354789164357e-08,(-0.0009886212113028744-0.00021211844569266113j),(121429.48012683647-1215.919203748999j),(-0.900460825130005-0.36812962888103057j)
0,250,44100,0.0010111212263823922,2.9302372086039385,-19326.101999265094,-193.51955167701465,7.622354789164357e-08,(-0.0009886212113028744+0.00021211844569266113j),(-121429.48012683647-1215.919203748999j),(-0.900460825130005+0.36812962888103057j)
0,250,44100,0.0011952402808938945,-3.0252309264632626,19134.14993906435,-180.05388968752692,1.1425861374654993e-07,(-0.0011871575995620416-0.00013876657693193698j),(120223.4097625003-1131.3119541852031j),(-0.8917667916624454-0.39336914937714695j)
0,250,44100,0.0011952402808938945,3.0252309264632626,-19134.14993906435,-180.05388968752692,1.1425861374654993e-07,(-0.0011871575995620416+0.00013876657693193698j),(-120223.4097625003-1131.3119541852031j),(-0.8917667916624454+0.39336914937714695j)
0,250,44100,0.0012313264301561525,-2.9118325335330755,18916.073186032663,-170.85754054635262,1.2762268953566796e-07,(-0.0011989684696688742-0.0002804271497929047j),(118853.19311201418-1073.5295883816832j),(-0.8802687224992236-0.421434450018247j)
0,250,44100,0.0012313264301561525,2.9118325335330755,-18916.073186032663,-170.85754054635262,1.2762268953566796e-07,(-0.0011989684696688742+0.0002804271497929047j),(-118853.19311201418-1073.5295883816832j),(-0.8802687224992236+0.421434450018247j)
0,250,44100,0.0011416105437784933,-2.8743781508473756,18705.462234065206,-172.42805763650455,1.0872771731879203e-07,(-0.0011010949410056757-0.0003014374969341648j),(117529.88547308114-1083.3974382872002j),(-0.8670343413803543-0.44755481271215847j)
