,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
84431,212250,250,44100,0.1922942184781831,2.4078863229885004,569.823629872291,-1.1686801023051656,0.0354855656082605,(-0.1428164642658086+0.1287653835265839j),(3580.3074588973177-7.343033647596952j),(0.9965402710741379-0.08108345190381941j)
84554,212500,250,44100,0.1833630541976615,0.9614183073579688,571.6757715132514,-0.0052649360893556,0.0336157304606518,(0.10494922739538351+0.15035846937837144j),(3591.944808042616-0.033080569079879184j),(0.9966840348643298-0.0813599065579532j)
84718,212750,250,44100,0.1796692485784418,-0.5349568599327238,572.0540057899489,0.0206266086314143,0.0323046723973471,(0.15456776980264947-0.09159608846985272j),(3594.3213240926325+0.12960080428984647j),(0.996683325670849-0.08141391732661825j)
84766,213000,250,44100,0.1798353830667887,-2.0546340208401297,571.6357769898282,-1.170776593149617,0.0310339971503932,(-0.08365578425592832-0.1591931994882452j),(3591.6935150406753-7.356206288067446j),(0.9965190054892021-0.08134071885836373j)
84884,213250,250,44100,0.1741053997476965,2.728735056009119,567.9824516289691,-2.2713940950763774,0.0279964028077795,(-0.15947671842270952+0.06985604127367241j),(3568.738994810979-14.271590004998366j),(0.9964049492761731-0.08080933627432577j)
85008,213500,250,44100,0.1601699440938484,1.347337924968494,564.7876816802144,-2.1805854647702576,0.0237685014403133,(0.03549419727014695+0.15618762099210817j),(3548.6656632091444-13.701022553293852j),(0.9964545207352409-0.08035682637075527j)
85132,213750,250,44100,0.1489035303163614,0.0669394748106542,562.0828487395796,-3.5496296999774724,0.0196009184633003,(0.1485700444557072+0.00996008188243279j),(3531.6706966181728-22.302981176826737j),(0.9962910628685482-0.07995721571862022j)
85236,214000,250,44100,0.1350670606074571,-1.0814989163281594,561.3287244090336,-7.318498554338151,0.0142314259406434,(0.06348230919952663-0.11921873711725932j),(3526.932393704699-45.983482587232515j),(0.9957648058597142-0.07980730339100806j)
85353,214250,250,44100,0.0938766301168764,-2.2735626715973867,547.2288646507443,-12.161902143634236,0.005905171382105,(-0.06067537967093499-0.07163323239871783j),(3438.340362038123-76.41548485623854j),(0.9952361028594847-0.07775308868884381j)
85465,214500,250,44100,0.0474729251395556,2.751586411655409,567.0781782505752,-36.91729285604953,0.0007993581977173,(-0.04390802590012007+0.018048930241436344j),(3563.0572776061804-231.95819205397632j),(0.9915089621080556-0.08028368528449968j)
85645,214750,250,44100,0.0690311200955591,-2.5722589882910087,546.3617622658056,19.78424754789717,0.0104298426583648,(-0.05814217632470982-0.03721267087799345j),(3432.892197073256+124.30809350655126j),(0.9997859413208972-0.07798427865351655j)
85763,215000,250,44100,0.1532243695476964,3.0010948243166387,560.995199669492,13.902316583449968,0.040036652645514,(-0.15171455864514086+0.021456936370301598j),(3524.8367959616303+87.35083129289194j),(0.9987838133814203-0.08000150088552953j)
85884,215250,250,44100,0.2044624744886437,1.6148971024799597,552.6764232033872,7.643912924047578,0.0555074500243564,(-0.009014031194536753+0.20426367938437615j),(3472.5683818960897+48.02812137373589j),(0.997987657662685-0.07874741348412738j)
85951,215500,250,44100,0.0187613889949524,-1.8392066016595063,556.3742723510961,-58.20498787117853,8.424206921973957e-05,(-0.00497550102729133-0.01808961322271284j),(3495.8026533291404-365.7127245967549j),(0.9886272046460027-0.078532942955744j)
86105,215750,250,44100,0.3770638888890104,-0.2621042938217986,561.1001612407041,3.373546877073263,0.1606392063140057,(0.3641859753292965-0.09770236270199947j),(3525.4962889636886+21.196620171108304j),(0.9972854708005294-0.07989649486736665j)
