,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
37344,81500,250,44100,0.0018266278299335,-1.7637874884548457,497.1663292417121,5.713692498475959,4.1145865131217416e-06,(-0.00035033877720848415-0.0017927163663758483j),(3123.7881751159343+35.900188756166365j),(0.99830465934076-0.07083261770002605j)
37427,81750,250,44100,0.316153561563078,1.4561901239841648,990.6678892348566,-0.4054124239139172,0.0985292013663746,(0.03615389337149558+0.31407956075348403j),(6224.5499259350645-2.547281385283987j),(0.9899982080597448-0.14066993902641756j)
37863,82500,250,44100,0.0019511530963576,-2.6981895639651308,490.6140984265546,-26.33644688980373,1.7247847063742088e-06,(-0.0017624705762918356-0.0008370757869701794j),(3082.6192947288873-165.47677614133033j),(0.9938218125944271-0.06958217035607284j)
38029,82750,250,44100,0.2660946836584009,-1.1705812028401796,985.546127665671,-1.1563602108767388,0.0679796398011909,(0.10367487281752798-0.2450671365514639j),(6192.36894889668-7.265625486787813j),(0.9899946680607887-0.13993250039866614j)
38161,83000,250,44100,0.2532178733967762,1.4219349504227758,985.2328773315548,-1.1980374170474208,0.0614698363192362,(0.03755529930911054+0.25041743330165517j),(6190.400738999893-7.527491096243737j),(0.9899950337439576-0.139887485539727j)
38378,83250,250,44100,0.2458587894316315,-2.3379883826218437,987.663279146019,0.0066115123480864,0.060460724495405,(-0.17065467777883792-0.17698453405026204j),(6205.671403971077+0.04154135724373301j),(0.9901164575118182-0.14025435653769336j)
38435,83500,250,44100,0.2236815050661354,0.3479009361688321,983.6958009157638,-3.006230104391137,0.0450580125222621,(0.2102808371884538+0.07625867308034262j),(6180.743003048183-18.88870082191135j),(0.9897706235221067-0.13963469910087783j)
38592,83750,250,44100,0.1923217103034609,2.993452506124317,982.4052888674244,-1.8629313002366896,0.0346475589909866,(-0.1902152684148597+0.028386474171887194j),(6172.634476707318-11.705142573932132j),(0.9899575244786538-0.13947542842170116j)
38791,84000,250,44100,0.0180534714549671,-0.6615914687130178,991.0375157115046,21.981387950349188,0.0007857638816677,(0.014244468358811664-0.011091571248030115j),(6226.872357582284+138.1131338010484j),(0.9931534931986564-0.14117163564645804j)
38860,84250,250,44100,0.1718478509801294,2.053901212211928,985.399358255837,-0.6535318424813857,0.02885747363726,(-0.07982864768312198+0.15218104643999772j),(6191.446769497268-4.106261670453047j),(0.9900685208485662-0.13992182225966956j)
39083,84500,250,44100,0.1787415775073464,-1.630163894578197,988.4720615509818,3.426931809355074,0.0361683468360085,(-0.010605220458227663-0.1784266819420434j),(6210.753133694645+21.532047593246155j),(0.9905828955417267-0.14043686872155853j)
