Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,clusterSimilarity,clusters
49314,90500,250,44100,0.049190884678851,2.8307927376488853,315.65245256693186,6.749977651402807,0.002888888130540236,(-0.04683411220375086+0.015043572367443081j),(1983.3028521437475+42.411360403084686j),(0.9999500902302946-0.045000952302645246j),348,2.052154195011338,-2.0673463033482326e-6,1,5
49401,90750,250,44100,0.0672827760582949,-2.223338473080057,329.08755973469647,-10.04659384428414,0.0030132421335527433,(-0.0408546539817292-0.053459042286070194j),(2067.718120100629-63.12461082960698j),(0.9974722033260617-0.04680281335010594j),349,2.057823129251701,-3.651732445368235e-5,1,5
49566,91000,250,44100,0.0558174955845855,-1.4077952131438487,346.6765875644699,-4.211391643111846,0.0025065083824047703,(0.009058078029794903-0.055077618283122715j),(2178.2332413282347-26.46095409477925j),(0.9981813014832597-0.049343346700047135j),350,2.0634920634920637,-8.998531887452372e-7,1,5
49811,91250,250,44100,0.0498781964493613,-1.2254577117055103,323.86925595277154,16.75990383749478,0.004449666146672537,(0.01688453364212189-0.04693343163171791j),(2034.930550449639+105.30558154148996j),(1.001323765458737-0.046237454475401306j),351,2.069160997732426,-2.1097516991218073e-5,1,5
50065,91750,250,44100,0.0830700418890595,0.6653452311372287,332.1291550591965,-24.042409203328265,0.003083826099007618,(0.06535151016162058+0.05128169243546586j),(2086.829027153914-151.0629122555514j),(0.9954648246817293-0.047140971428641425j),352,2.080498866213152,-6.6399204619744895e-6,1,5
50316,92000,250,44100,0.0506593006936524,1.3300116971090117,333.6047763923753,18.843295284755904,0.005018325514341828,(0.012080454627474995+0.04919783900501537j),(2096.100629433504+118.39591607202468j),(1.0015559180343683-0.047640461496786406j),353,2.0861678004535147,0.0004817892648685383,1,5
50483,92250,250,44100,0.0848226261291323,1.7731136051234706,318.2079779724451,2.142693520300423,0.00723177460612136,(-0.017044248519159387+0.08309254777571627j),(1999.3596918237927+13.462940444540523j),(0.9992774712635695-0.04533526276354574j),354,2.0918367346938775,-3.4067557161897074e-5,1,5
50570,92500,250,44100,0.1025465590812904,2.85070633866136,325.3806969118905,-7.840190642060373,0.007506949605930642,(-0.09823858381985096+0.029410498609896377j),(2044.4272140766443-49.26137064768062j),(0.9978104041487716-0.046290552988906254j),355,2.0975056689342404,-0.00012190519155157382,1,5
50814,92750,250,44100,0.0838685906560092,-2.3991802240596383,339.59795328947587,3.200238376815807,0.007349072801381156,(-0.0617977104797125-0.05670082431579691j),(2133.7568704566943+20.10769074868133j),(0.9992852248992904-0.04838769089414402j),356,2.1031746031746033,7.304505531130949e-6,1,5
50972,93000,250,44100,0.0685214119758584,-1.8554187184278124,325.97566508094377,13.919399782643945,0.007456718721389279,(-0.01924047364371539-0.06576464151145969j),(2048.1655093346794+87.45816819906716j),(1.0009046925700895-0.046519131859563224j),357,2.108843537414966,-0.00017371813961316085,1,5
