Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
11654,21250,250,44100,0.208259601549049,0.2752746304508063,526.5911415740537,-0.3383517666253695,0.036726236681387574,(0.20041874964864656+0.056607300117933586j),(3308.6697236290197-2.1259268487187777j),(0.9971387601149958-0.07495254370573037j),86,0.481859410430839,-1
11860,21500,250,44100,0.200919054820952,0.3785140294305154,525.8835523978082,0.3512024716898672,0.03502946938905962,(0.18669695672544676+0.07424764602060709j),(3304.2238097133145+2.206670209966928j),(0.9972442806250765-0.07485937158968167j),87,0.4875283446712018,-1
11918,21750,250,44100,0.2013834284571079,0.482621546563048,525.9217048084816,-0.2515442589626075,0.03444661767998964,(0.1783816751816454+0.09346263005356228j),(3304.4635283794914-1.5804991920192328j),(0.997158237197391-0.07485836352942632j),88,0.4931972789115646,-1
12096,22000,250,44100,0.1977198835057768,0.6048544216570784,525.2820154348689,-1.4607084187634396,0.03182438636847661,(0.16264138829955854+0.1124318955880856j),(3300.4442415060485-9.17790167484797j),(0.9969932821602876-0.07475460234020412j),89,0.4988662131519274,-1
12331,22250,250,44100,0.1946271422506906,0.7558477288990273,525.6080470625376,1.1508969252851586,0.0338243536936874,(0.1416282918158003+0.1334958855471175j),(3302.4927586386925+7.231298651029871j),(0.9973608482831154-0.0748287521323363j),90,0.5045351473922902,-1
12416,22500,250,44100,0.2024932287007418,0.8997528356848036,524.4973401951214,-0.8418117663760524,0.034110257886058454,(0.12591101042951866+0.15858727919435583j),(3295.51398156876-5.289259321904907j),(0.9970895506085473-0.07464972289910562j),91,0.5102040816326531,-1
12573,22750,250,44100,0.1971357889869422,1.0671049004876798,524.2480455069433,-0.3602495245786234,0.032882235382158474,(0.09514991399385184+0.17265286897838336j),(3293.9476168468414-2.263514519750838j),(0.9971606152571162-0.0746194272897193j),92,0.5158730158730159,-1
12726,23000,250,44100,0.1949552599517023,1.2491650356786717,524.3517586963293,-0.0497786091521323,0.03251412776697681,(0.061628208050360116+0.18495815028091453j),(3294.599266034552-0.3127682256365134j),(0.9972036224624888-0.07463746343667306j),93,0.5215419501133787,-1
12968,23250,250,44100,0.1937947367934472,1.4280675030974828,523.5329541456947,0.0195915286213999,0.03220733274536092,(0.027566277416586914+0.19182413914373048j),(3289.4545653125533+0.12309720477916863j),(0.9972221789406411-0.07452186581222436j),94,0.5272108843537415,-1
13122,23500,250,44100,0.194147539440034,1.6335117220209805,524.292496023936,0.4986751875800554,0.032880525125848256,(-0.012168059395646351+0.19376585199968438j),(3294.2269076821062+3.1332686116580284j),(0.9972821786341526-0.07463487539282271j),95,0.5328798185941043,-1
13208,23750,250,44100,0.1968709342036991,1.8143671423596333,524.9440880276014,-0.4569406888402587,0.032682186129366846,(-0.04747927901532502+0.19105989322309944j),(3298.3209809858126-2.871043022373633j),(0.9971394735567357-0.07471728527370919j),96,0.5385487528344671,-1
13430,24000,250,44100,0.1940369632735105,1.970170518269333,524.3868353400005,0.4378089960978835,0.032771844626637604,(-0.07544969337204543+0.1787671303301309j),(3294.819659086692+2.7508350516332665j),(0.9972725270233468-0.07464763258627305j),97,0.54421768707483,-1
13585,24250,250,44100,0.1971073002315781,2.143400779226193,524.5077680479092,0.1382459316808917,0.03345847020079626,(-0.10679725041996738+0.1656672421069303j),(3295.579501700181+0.8686248067147315j),(0.9972286775659782-0.07466162890810553j),98,0.5498866213151927,-1
