onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
4500,250,44100,0.0758130843917395,-0.29443243224633525,875.9481372942879,-0.23506274028596089,0.00627383150426681,(0.07255062014088061-0.022000710946754966j),(5503.744466098797-1.4769427560301205j),(0.9921891706381246-0.12447357302157501j),1873,0.10204081632653061,2
4500,250,44100,0.18209831868812873,-0.47647313902351585,437.9931064854449,-1.6369313334467392,0.034458663055671114,(0.16181584991262515-0.08351903008355684j),(2751.9918513152916-10.28514290317444j),(0.9978207948174236-0.06234840662730321j),1877,0.10204081632653061,1
4750,250,44100,0.07518196737578807,-0.08409120137705846,876.619190533502,-0.1704889464907201,0.0061839275190494125,(0.07491630572330744-0.006314693600325649j),(5507.960817951762-1.0712136436270192j),(0.9921863936015612-0.12456958061399408j),2040,0.10770975056689343,2
4750,250,44100,0.023080146056102067,2.792521530225188,423.66142070718115,-14.145234300035819,0.00037018631137536093,(-0.02168820131114689+0.007893989223337602j),(2661.9432138061898-88.87712832059778j),(0.996169138022822-0.06020342255087215j),2042,0.10770975056689343,1
4750,250,44100,0.14846943805190735,2.7671338250266566,439.432760689552,1.086053522746108,0.025221832902680433,(-0.13818135254926917+0.05430550472193163j),(2761.0374654579564+6.823875536928975j),(0.9981951694630545-0.06257734706538308j),2092,0.10770975056689343,1
5000,250,44100,0.1656982840220174,-0.27596678950671255,439.25827430926546,-0.8126304415166129,0.02936549872714407,(0.15942862866549737-0.04514901648629893j),(2759.941135197037-5.105907650304042j),(0.9979267325441943-0.06253561260643005j),2165,0.11337868480725624,1
5000,250,44100,0.07440179712494883,0.15269499417839938,878.4945018823022,1.1849136812167727,0.006356428162604395,(0.07353611382399469+0.011316685870277647j),(5519.743746664931+7.445032232097303j),(0.9923446901806032-0.12485878448618523j),2236,0.11337868480725624,2
5250,250,44100,0.16053884793995746,2.923458503574591,439.37812559018437,-0.9755256999052201,0.027408080643059204,(-0.15673454827935743+0.03474194976616246j),(2760.6941830043534-6.129408744420561j),(0.9979025043156384-0.06255120136311336j),2298,0.11904761904761904,1
5250,250,44100,0.07635221967604508,0.2375005497534417,880.4387917653263,0.9554990209060558,0.006639110394914128,(0.0742089415588195+0.017963697898226792j),(5531.960080290845+6.00357740918141j),(0.9922776302623137-0.12512958337043842j),2379,0.11904761904761904,2
5500,250,44100,0.07754178538850547,0.5093492850313435,878.5411156901931,4.683199481986598,0.007850550329781894,(0.06769878523396189+0.03781009070450564j),(5520.036629857783+29.425410175809244j),(0.9928385894961939-0.12492762605508025j),2527,0.12471655328798185,2
