id,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
5114,10250,250,44100,0.2718479126327371,0.8918857905595332,524.1462173830791,0.3808628491292611,0.0749088918404283,(0.17070567715121582+0.21156762368359j),(3293.3078118751205+2.393031857699529j),(0.9972669942162673-0.07461283842655567j)
5192,10500,250,44100,0.2771002422340251,1.060674844712204,524.4257266765611,-0.1418782630144711,0.0763993575326326,(0.13530341131536916+0.24182127932127778j),(3295.0640205611467-0.8914474175806861j),(0.9971897506419389-0.07464699309131313j)
5347,10750,250,44100,0.2740660458616233,1.2273307318447155,524.622593859969,-0.284759829114581,0.0743584880190816,(0.09229236821607643+0.2580587457601342j),(3296.3009735554006-1.7891987743677054j),(0.9971673567739141-0.07467344290278143j)
5477,11000,250,44100,0.2727064780417337,1.377116301780246,525.4766854458474,-1.032093502233408,0.071711203138331,(0.0524881998409304+0.2676075709754586j),(3301.6673892587773-6.484834728868471j),(0.9970520937978578-0.07478682158265422j)
5639,11250,250,44100,0.2628541829406139,1.5096355712199965,525.2913136137214,-0.7773286575683322,0.0672215898863167,(0.01606633966820681+0.26236271499403935j),(3300.5026636867983-4.884100000082977j),(0.9970902602112051-0.0747632020965245j)
5802,11500,250,44100,0.2549745972302252,1.6473094644552366,525.5259989819756,-1.0354006768497508,0.0626815319348518,(-0.019489876992909293+0.2542286174440573j),(3301.977235344423-6.505614319826154j),(0.9970510985187631-0.07479379161490544j)
5927,11750,250,44100,0.2458890553698919,1.7702053334243646,525.658767658345,-1.3697972809803378,0.0576163695946232,(-0.048708183456763+0.24101647332711537j),(3302.8114455410414-8.606690149670206j),(0.9970021817682224-0.07480908790270502j)
6107,12000,250,44100,0.2346376715025774,1.8985240168875053,525.7397575786541,-1.1717627406972453,0.0528284569639558,(-0.07552810486145807+0.22214936926353857j),(3303.320320218357-7.362402435849416j),(0.9970294494012155-0.07482270351724395j)
6246,12250,250,44100,0.2255310934632891,2.0220673856862104,526.0209394344811,-1.6973606115811115,0.0479209852938621,(-0.09835629835343276+0.2029539669308224j),(3305.087037923535-10.664831255671796j),(0.9969517915444259-0.07485704019817757j)
6401,12500,250,44100,0.2120027494768768,2.141190626560469,525.7394627215627,-1.7776968041964896,0.0422263696722814,(-0.11447384586276593+0.1784401983835008j),(3303.318467576613-11.169598440747489j),(0.9969433817349505-0.07481620239749656j)
6536,12750,250,44100,0.1994450576481272,2.2605388273332405,525.7894280291646,-1.499880509350867,0.0377349779549657,(-0.12691458191724772+0.15385389145886116j),(3303.6324088632055-9.4240271788784j),(0.996982310991635-0.07482626120907364j)
6700,13000,250,44100,0.1881869110559795,2.3863356147224897,525.654499710052,-1.2696598963364092,0.0338660771362369,(-0.13701801925611357+0.12899758095376226j),(3302.784629231035-7.977508405776083j),(0.997016451749412-0.0748095489581815j)
6863,13250,250,44100,0.1796480327898547,2.5132311015240942,525.889066252812,-1.3815137038261724,0.0307421945474471,(-0.1453337685823558+0.10560071682955073j),(3304.25845428606-8.680306605547857j),(0.996998062298881-0.0748416765538625j)
7012,13500,250,44100,0.1711812554336264,2.632068855402206,525.4637672552893,-1.2103520039219098,0.0280801062082942,(-0.14943727820955774+0.08349564116258823j),(3301.586221873668-7.604865927557513j),(0.9970269090983408-0.07478308714793204j)
7161,13750,250,44100,0.1649326864089809,2.76690223599553,525.5080371041939,-0.8728597575616863,0.0263775870683925,(-0.15348981642107443+0.06036279732673207j),(3301.864377537856-5.484339603939923j),(0.9970743800603223-0.07479297207467958j)
