onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
4750,250,44100,0.011090968127378292,-1.647602593614434,215.129063493514,18.30953505035991,0.0015030714381778125,(-0.0008510185592348605-0.011058270272260438j),(1351.6957708897514+115.04220160971103j),(1.0021411494925647-0.030725948068291122j),3291,0.10770975056689343,1
5000,250,44100,0.019257240570404267,-1.4875566767913362,410.866254783507,-7.942426578491049,0.0016872355522456464,(0.0016011154907084784-0.019190563920110253j),(2581.5488152716352-49.903737981327595j),(0.9971580831533287-0.058438927562689695j),3386,0.11337868480725624,1
5000,250,44100,0.10961765642176424,-2.777998661969482,205.45560585833533,-4.173381657849271,0.061892776344650735,(-0.1024513704956594-0.038983936216871205j),(1290.9156440067727-26.222130313851324j),(0.9989774173021992-0.029250885350286363j),3388,0.11337868480725624,2
5000,250,44100,0.03266902695182804,-0.9698063724123032,425.54018632886596,4.447313016807791,0.007467736625070942,(0.0184730031906993-0.02694463722330809j),(2673.747846355994+27.943291803635233j),(0.9987952837434972-0.06063047061140882j),3497,0.11337868480725624,1
5000,250,44100,0.08625677065268494,-2.2983679449916568,215.63664880027696,5.119386095906245,0.05338841902306933,(-0.057365764222057594-0.06441583329158435j),(1354.8850234313447+32.166051499577584j),(1.000257395910164-0.03074059704660633j),3501,0.11337868480725624,2
5250,250,44100,0.025080267947101963,2.0748377573078582,417.83908557632594,-7.710828141159419,0.0028832947731433356,(-0.012112974439939413+0.021961231534588503j),(2625.360403258525-48.44856208271974j),(0.9971324363658515-0.05943149631520676j),3586,0.11904761904761904,1
5250,250,44100,0.06769513668572828,1.749913775506639,207.44318433802988,-8.85329230384024,0.02025187181690647,(-0.012060647550862528+0.0666121033413096j),(1303.4039679072557-55.6268761236551j),(0.9983032290403295-0.029514090745647224j),3590,0.11904761904761904,-1
5250,250,44100,0.036168165353658084,-3.1326923872825994,428.3365327336084,1.960906453782892,0.00835216683358088,(-0.036166732837200975-0.00032190205355297173j),(2691.317809000056+12.320738619162293j),(0.9984172936916899-0.06100678200865618j),3697,0.11904761904761904,1
5250,250,44100,0.15712009585147377,2.839998920528072,215.08572166529748,1.7625565149949796,0.15648973137196226,(-0.1500283696704471+0.046671327540621456j),(1351.4234461515152+11.074469198090112j),(0.9997815287277726-0.030647421770682606j),3699,0.11904761904761904,-1
5500,250,44100,0.03020046175960897,-1.3439703715722786,424.615132325551,-9.446589560167507,0.0039557274231892476,(0.006791658615235683-0.029426879952650413j),(2667.9355606340177-59.35467272740055j),(0.9968280450087188-0.06037918925964663j),3788,0.12471655328798185,1
5500,250,44100,0.06267627737654989,0.7365687591272185,428.1658353811703,-1.2746556723921558,0.022351035181493204,(0.04642919808175227+0.04210279457788558j),(2690.245285903243-8.00889779248751j),(0.9979586226073938-0.06095439441799799j),3794,0.12471655328798185,1
5500,250,44100,0.09697702276493576,0.7057628124311089,209.74662007673558,-6.016213289953278,0.04555585000013082,(0.07381086082631334+0.06290071357647281j),(1317.8768814967239-37.800982948293j),(0.9986970962613116-0.029853781194427137j),3796,0.12471655328798185,2
5500,250,44100,0.13364879710539077,1.6992373182540914,217.04627252599101,2.415405507231391,0.1159475208781283,(-0.017118824798221403+0.13254790381309584j),(1363.741950513403+15.17644039391693j),(0.9998659273673034-0.03092956749696466j),3883,0.12471655328798185,-1
5750,250,44100,0.071806713037782,-0.2211756382585856,208.6442526588866,-5.647955351846925,0.025282328704518537,(0.07005751701049322-0.015752725085356665j),(1310.9505027337816-35.48715008233091j),(0.9987541739252843-0.02969848289408652j),3976,0.13038548752834467,-1
5750,250,44100,0.023349807874396503,2.50426056895607,423.5302720747558,9.996937305397866,0.004724021254909008,(-0.0187659176216533+0.01389438244718171j),(2661.1191826458785+62.812609594071354j),(0.9996026661145604-0.06039218132888358j),4083,0.13038548752834467,1
5750,250,44100,0.0577350825063466,-1.8971093773731835,420.63403615379156,0.9553737757810427,0.020524097289770782,(-0.01850714371665204-0.05468843921219398j),(2642.92159566115+6.002790470852132j),(0.9983406058725238-0.05990248009059141j),4087,0.13038548752834467,1
5750,250,44100,0.14033113283338944,0.11089701386757775,216.27179699805257,3.2657667574506055,0.13188168083724686,(0.1394691103187282+0.015530425274435357j),(1358.87577725549+20.519417707089165j),(0.9999904816303284-0.030822972198415136j),4089,0.13038548752834467,-1
6000,250,44100,0.015444067610410998,3.1069144567795677,218.00570050764404,-20.559216118751845,0.0007472873020245557,(-0.015434782198175888+0.000535465078057188j),(1369.7702143110223-129.1773646444713j),(0.996594164680124-0.030964720420340052j),4164,0.1360544217687075,1
6000,250,44100,0.053190025364665036,1.3739926636603192,428.552045622156,1.7027764540071475,0.01789545333250466,(0.010400548754253754+0.05216327619987169j),(2692.6719164148863+10.698859997229066j),(0.9983787016431386-0.06103519401535195j),4273,0.1360544217687075,1
6000,250,44100,0.22132423333149737,-1.254426113088647,215.79030008809056,0.840782015307676,0.30037098395562317,(0.06885816844240686-0.21034012669610194j),(1355.8504429453644+5.282789205122032j),(0.9996471542422795-0.030743747239306406j),4275,0.1360544217687075,-1
