onset,duration,sample_rate,amplitude,phase,frequency,decay,d,w,z
4250,160,44100,6.477629478793645e-06,2.7541688121082384,15553.425276852551,125.77814461735962,(-5.9975426599868895e-06+2.4472772025608014e-06j),(97725.05317583554+790.2873902241031j),(-0.6122248368989266-0.8134319070128444j)
4250,160,44100,4.910309866357314e-06,0.10771279944447129,-15152.783025847424,130.2486890445546,(4.881852572567342e-06+5.278810882799337e-07j),(-95207.74367088477+818.3766492841482j),(-0.5651805788422342+0.8475746854171615j)
4250,160,44100,4.910309866357314e-06,-0.10771279944447129,15152.783025847424,130.2486890445546,(4.881852572567342e-06-5.278810882799337e-07j),(95207.74367088477+818.3766492841482j),(-0.5651805788422342-0.8475746854171615j)
4250,160,44100,5.870214662303526e-06,-1.2944343280998907,-14937.731926076902,123.67391016644454,(1.6017321356624385e-06-5.647466188221895e-06j),(-93856.5377605138+777.0660952392524j),(-0.5384454070374513+0.863681632865208j)
4250,160,44100,5.870214662303526e-06,1.2944343280998907,14937.731926076902,123.67391016644454,(1.6017321356624385e-06+5.647466188221895e-06j),(93856.5377605138+777.0660952392524j),(-0.5384454070374513-0.863681632865208j)
4250,160,44100,3.804945273016492e-06,-2.537627876722668,-14720.757752368243,135.3439640296169,(-3.13181412632727e-06-2.1608676055666867e-06j),(-92493.24882023013+850.3912062063313j),(-0.5123440720144745+0.8813758489439728j)
4250,160,44100,3.804945273016492e-06,2.537627876722668,14720.757752368243,135.3439640296169,(-3.13181412632727e-06+2.1608676055666867e-06j),(92493.24882023013+850.3912062063313j),(-0.5123440720144745-0.8813758489439728j)
4250,160,44100,6.824751762672373e-06,2.575653459472325,-14501.15380732359,122.31901370052285,(-5.760673107286124e-06+3.6594920375770845e-06j),(-91113.4365393269+768.5530296718237j),(-0.48362278180756535+0.895309205179079j)
4250,160,44100,6.824751762672373e-06,-2.575653459472325,14501.15380732359,122.31901370052285,(-5.760673107286124e-06-3.6594920375770845e-06j),(91113.4365393269+768.5530296718237j),(-0.48362278180756535-0.895309205179079j)
4250,160,44100,4.712270004331551e-06,0.8405557879100479,-14295.864258549776,134.74192542916944,(3.1433143302997007e-06+3.5107069964118944e-06j),(-89823.56426275375+846.6084861176448j),(-0.45804294135984486+0.9106800849190214j)
4250,160,44100,4.712270004331551e-06,-0.8405557879100479,14295.864258549776,134.74192542916944,(3.1433143302997007e-06-3.5107069964118944e-06j),(89823.56426275375+846.6084861176448j),(-0.45804294135984486-0.9106800849190214j)
4250,160,44100,4.847527518091943e-06,-0.5830646094297148,-14083.679816571203,135.45064304325135,(4.046615362953388e-06-2.6689749236304652e-06j),(-88490.37009450186+851.0614902173837j),(-0.4303503795214774+0.9242023480724703j)
4250,160,44100,4.847527518091943e-06,0.5830646094297148,14083.679816571203,135.45064304325135,(4.046615362953388e-06+2.6689749236304652e-06j),(88490.37009450186+851.0614902173837j),(-0.4303503795214774-0.9242023480724703j)
