Id,Level
ResonanceId(364),1
PairId(183),2
ResonanceId(365),1
ResonanceId(366),1
PairId(184),2
ResonanceId(367),1
ResonanceId(368),1
PairId(185),2
ResonanceId(369),1
ResonanceId(370),1
PairId(186),2
ResonanceId(371),1
ResonanceId(372),1
PairId(187),2
ResonanceId(373),1
ResonanceId(374),1
PairId(188),2
ResonanceId(375),1
ResonanceId(376),1
PairId(189),2
ResonanceId(377),1
ResonanceId(378),1
PairId(190),2
ResonanceId(379),1
ResonanceId(380),1
PairId(191),2
ResonanceId(381),1
ResonanceId(382),1
PairId(192),2
ResonanceId(383),1
ResonanceId(384),1
PairId(193),2
ResonanceId(385),1
ResonanceId(386),1
PairId(194),2
ResonanceId(387),1
ResonanceId(388),1
PairId(195),2
ResonanceId(389),1
ResonanceId(390),1
PairId(196),2
ResonanceId(391),1
ResonanceId(392),1
PairId(197),2
ResonanceId(393),1
ResonanceId(394),1
PairId(198),2
ResonanceId(395),1
ResonanceId(396),1
PairId(199),2
ResonanceId(397),1
ResonanceId(398),1
PairId(200),2
ResonanceId(399),1
ResonanceId(400),1
PairId(201),2
ResonanceId(401),1
ResonanceId(402),1
PairId(202),2
ResonanceId(403),1
ResonanceId(404),1
PairId(203),2
ResonanceId(405),1
ResonanceId(406),1
PairId(204),2
ResonanceId(407),1
ResonanceId(408),1
PairId(205),2
ResonanceId(409),1
ResonanceId(410),1
PairId(206),2
ResonanceId(411),1
ResonanceId(412),1
PairId(207),2
ResonanceId(413),1
ResonanceId(414),1
PairId(208),2
ResonanceId(415),1
ResonanceId(416),1
PairId(209),2
ResonanceId(417),1
ResonanceId(418),1
PairId(210),2
ResonanceId(419),1
ResonanceId(420),1
PairId(211),2
ResonanceId(421),1
ResonanceId(422),1
PairId(212),2
ResonanceId(423),1
ResonanceId(424),1
PairId(213),2
ResonanceId(425),1
ResonanceId(426),1
PairId(214),2
ResonanceId(427),1
ResonanceId(428),1
PairId(215),2
ResonanceId(429),1
ResonanceId(430),1
PairId(216),2
ResonanceId(431),1
ResonanceId(432),1
PairId(217),2
ResonanceId(433),1
ResonanceId(434),1
PairId(218),2
ResonanceId(435),1
ResonanceId(436),1
PairId(219),2
ResonanceId(437),1
ResonanceId(438),1
PairId(220),2
ResonanceId(439),1
ResonanceId(440),1
PairId(221),2
ResonanceId(441),1
ResonanceId(442),1
PairId(222),2
ResonanceId(443),1
ResonanceId(444),1
PairId(223),2
ResonanceId(445),1
ResonanceId(446),1
PairId(224),2
ResonanceId(447),1
ResonanceId(448),1
PairId(225),2
ResonanceId(449),1
ResonanceId(450),1
PairId(226),2
ResonanceId(451),1
ResonanceId(452),1
PairId(227),2
ResonanceId(453),1
ResonanceId(454),1
PairId(228),2
ResonanceId(455),1
ResonanceId(456),1
PairId(229),2
ResonanceId(457),1
ResonanceId(458),1
SliceId(5),3
PairId(230),2
ResonanceId(459),1
ResonanceId(460),1
PairId(231),2
ResonanceId(461),1
ResonanceId(462),1
PairId(232),2
ResonanceId(463),1
ResonanceId(464),1
PairId(233),2
ResonanceId(465),1
ResonanceId(466),1
PairId(234),2
ResonanceId(467),1
ResonanceId(468),1
PairId(235),2
ResonanceId(469),1
ResonanceId(470),1
PairId(236),2
ResonanceId(471),1
ResonanceId(472),1
PairId(237),2
ResonanceId(473),1
ResonanceId(474),1
PairId(238),2
ResonanceId(475),1
ResonanceId(476),1
PairId(239),2
ResonanceId(477),1
ResonanceId(478),1
PairId(240),2
ResonanceId(479),1
ResonanceId(480),1
PairId(241),2
ResonanceId(481),1
ResonanceId(482),1
PairId(242),2
ResonanceId(483),1
ResonanceId(484),1
PairId(243),2
ResonanceId(485),1
ResonanceId(486),1
PairId(244),2
ResonanceId(487),1
ResonanceId(488),1
PairId(245),2
ResonanceId(489),1
ResonanceId(490),1
PairId(246),2
ResonanceId(491),1
ResonanceId(492),1
PairId(247),2
ResonanceId(493),1
ResonanceId(494),1
PairId(248),2
ResonanceId(495),1
ResonanceId(496),1
PairId(249),2
ResonanceId(497),1
ResonanceId(498),1
PairId(250),2
ResonanceId(499),1
ResonanceId(500),1
PairId(251),2
ResonanceId(501),1
ResonanceId(502),1
PairId(252),2
ResonanceId(503),1
ResonanceId(504),1
PairId(253),2
ResonanceId(505),1
ResonanceId(506),1
PairId(254),2
ResonanceId(507),1
ResonanceId(508),1
PairId(255),2
ResonanceId(509),1
ResonanceId(510),1
PairId(256),2
ResonanceId(511),1
ResonanceId(512),1
PairId(257),2
ResonanceId(513),1
ResonanceId(514),1
PairId(258),2
ResonanceId(515),1
ResonanceId(516),1
PairId(259),2
ResonanceId(517),1
ResonanceId(518),1
PairId(260),2
ResonanceId(519),1
ResonanceId(520),1
PairId(261),2
ResonanceId(521),1
ResonanceId(522),1
PairId(262),2
ResonanceId(523),1
ResonanceId(524),1
PairId(263),2
ResonanceId(525),1
ResonanceId(526),1
PairId(264),2
ResonanceId(527),1
ResonanceId(528),1
PairId(265),2
ResonanceId(529),1
ResonanceId(530),1
PairId(266),2
ResonanceId(531),1
ResonanceId(532),1
PairId(267),2
ResonanceId(533),1
ResonanceId(534),1
PairId(268),2
ResonanceId(535),1
ResonanceId(536),1
PairId(269),2
ResonanceId(537),1
ResonanceId(538),1
PairId(270),2
ResonanceId(539),1
ResonanceId(540),1
PairId(271),2
ResonanceId(541),1
ResonanceId(542),1
PairId(272),2
ResonanceId(543),1
ResonanceId(544),1
PairId(273),2
ResonanceId(545),1
ResonanceId(546),1
PairId(274),2
ResonanceId(547),1
ResonanceId(548),1
PairId(275),2
ResonanceId(549),1
ResonanceId(550),1
PairId(276),2
ResonanceId(551),1
ResonanceId(552),1
PairId(277),2
ResonanceId(553),1
ResonanceId(554),1
PairId(278),2
ResonanceId(555),1
ResonanceId(556),1
PairId(279),2
ResonanceId(557),1
ResonanceId(558),1
PairId(280),2
ResonanceId(559),1
ResonanceId(560),1
PairId(281),2
ResonanceId(561),1
ResonanceId(562),1
PairId(282),2
ResonanceId(563),1
ResonanceId(564),1
SliceId(6),3
PairId(282),2
ResonanceId(563),1
ResonanceId(564),1
PairId(283),2
ResonanceId(565),1
ResonanceId(566),1
PairId(284),2
ResonanceId(567),1
ResonanceId(568),1
PairId(285),2
ResonanceId(569),1
ResonanceId(570),1
PairId(286),2
ResonanceId(571),1
ResonanceId(572),1
PairId(287),2
ResonanceId(573),1
ResonanceId(574),1
PairId(288),2
ResonanceId(575),1
ResonanceId(576),1
PairId(289),2
ResonanceId(577),1
ResonanceId(578),1
PairId(290),2
ResonanceId(579),1
ResonanceId(580),1
PairId(291),2
ResonanceId(581),1
ResonanceId(582),1
PairId(292),2
ResonanceId(583),1
ResonanceId(584),1
PairId(293),2
ResonanceId(585),1
ResonanceId(586),1
PairId(294),2
ResonanceId(587),1
ResonanceId(588),1
PairId(295),2
ResonanceId(589),1
ResonanceId(590),1
PairId(296),2
ResonanceId(591),1
ResonanceId(592),1
PairId(297),2
ResonanceId(593),1
ResonanceId(594),1
PairId(298),2
ResonanceId(595),1
ResonanceId(596),1
PairId(299),2
ResonanceId(597),1
ResonanceId(598),1
PairId(300),2
ResonanceId(599),1
ResonanceId(600),1
PairId(301),2
ResonanceId(601),1
ResonanceId(602),1
PairId(302),2
ResonanceId(603),1
ResonanceId(604),1
PairId(303),2
ResonanceId(605),1
ResonanceId(606),1
PairId(304),2
ResonanceId(607),1
ResonanceId(608),1
PairId(305),2
ResonanceId(609),1
ResonanceId(610),1
PairId(306),2
ResonanceId(611),1
ResonanceId(612),1
PairId(307),2
ResonanceId(613),1
ResonanceId(614),1
PairId(308),2
ResonanceId(615),1
ResonanceId(616),1
PairId(309),2
ResonanceId(617),1
ResonanceId(618),1
PairId(310),2
ResonanceId(619),1
ResonanceId(620),1
PairId(311),2
ResonanceId(621),1
ResonanceId(622),1
PairId(312),2
ResonanceId(623),1
ResonanceId(624),1
PairId(313),2
ResonanceId(625),1
ResonanceId(626),1
PairId(314),2
ResonanceId(627),1
ResonanceId(628),1
PairId(315),2
ResonanceId(629),1
ResonanceId(630),1
PairId(316),2
ResonanceId(631),1
ResonanceId(632),1
PairId(317),2
ResonanceId(633),1
ResonanceId(634),1
PairId(318),2
ResonanceId(635),1
ResonanceId(636),1
PairId(319),2
ResonanceId(637),1
ResonanceId(638),1
PairId(320),2
ResonanceId(639),1
ResonanceId(640),1
PairId(321),2
ResonanceId(641),1
ResonanceId(642),1
PairId(322),2
ResonanceId(643),1
ResonanceId(644),1
PairId(323),2
ResonanceId(645),1
ResonanceId(646),1
PairId(324),2
ResonanceId(647),1
ResonanceId(648),1
PairId(325),2
ResonanceId(649),1
ResonanceId(650),1
PairId(326),2
ResonanceId(651),1
ResonanceId(652),1
PairId(327),2
ResonanceId(653),1
ResonanceId(654),1
PairId(328),2
ResonanceId(655),1
ResonanceId(656),1
PairId(329),2
ResonanceId(657),1
ResonanceId(658),1
PairId(330),2
ResonanceId(659),1
ResonanceId(660),1
PairId(331),2
ResonanceId(661),1
ResonanceId(662),1
PairId(332),2
ResonanceId(663),1
ResonanceId(664),1
PairId(333),2
ResonanceId(665),1
ResonanceId(666),1
PairId(334),2
ResonanceId(667),1
ResonanceId(668),1
PairId(335),2
ResonanceId(669),1
ResonanceId(670),1
PairId(336),2
ResonanceId(671),1
ResonanceId(672),1
PairId(337),2
ResonanceId(673),1
ResonanceId(674),1
SliceId(7),3
PairId(338),2
ResonanceId(675),1
ResonanceId(676),1
PairId(339),2
ResonanceId(677),1
ResonanceId(678),1
PairId(340),2
ResonanceId(679),1
ResonanceId(680),1
PairId(341),2
ResonanceId(681),1
ResonanceId(682),1
PairId(342),2
ResonanceId(683),1
ResonanceId(684),1
PairId(343),2
ResonanceId(685),1
ResonanceId(686),1
PairId(344),2
ResonanceId(687),1
ResonanceId(688),1
PairId(345),2
ResonanceId(689),1
ResonanceId(690),1
PairId(346),2
ResonanceId(691),1
ResonanceId(692),1
PairId(347),2
ResonanceId(693),1
ResonanceId(694),1
PairId(348),2
ResonanceId(695),1
ResonanceId(696),1
PairId(349),2
ResonanceId(697),1
ResonanceId(698),1
PairId(350),2
ResonanceId(699),1
ResonanceId(700),1
PairId(351),2
ResonanceId(701),1
ResonanceId(702),1
PairId(352),2
ResonanceId(703),1
ResonanceId(704),1
PairId(353),2
ResonanceId(705),1
ResonanceId(706),1
PairId(354),2
ResonanceId(707),1
ResonanceId(708),1
PairId(355),2
ResonanceId(709),1
ResonanceId(710),1
PairId(356),2
ResonanceId(711),1
ResonanceId(712),1
PairId(357),2
ResonanceId(713),1
ResonanceId(714),1
PairId(358),2
ResonanceId(715),1
ResonanceId(716),1
PairId(359),2
ResonanceId(717),1
ResonanceId(718),1
PairId(360),2
ResonanceId(719),1
ResonanceId(720),1
PairId(361),2
ResonanceId(721),1
ResonanceId(722),1
PairId(362),2
ResonanceId(723),1
ResonanceId(724),1
PairId(363),2
ResonanceId(725),1
ResonanceId(726),1
PairId(364),2
ResonanceId(727),1
ResonanceId(728),1
PairId(365),2
ResonanceId(729),1
ResonanceId(730),1
PairId(366),2
ResonanceId(731),1
ResonanceId(732),1
PairId(367),2
ResonanceId(733),1
ResonanceId(734),1
PairId(368),2
ResonanceId(735),1
ResonanceId(736),1
PairId(369),2
ResonanceId(737),1
ResonanceId(738),1
PairId(370),2
ResonanceId(739),1
ResonanceId(740),1
PairId(371),2
ResonanceId(741),1
ResonanceId(742),1
PairId(372),2
ResonanceId(743),1
ResonanceId(744),1
PairId(373),2
ResonanceId(745),1
ResonanceId(746),1
PairId(374),2
ResonanceId(747),1
ResonanceId(748),1
PairId(375),2
ResonanceId(749),1
ResonanceId(750),1
PairId(376),2
ResonanceId(751),1
ResonanceId(752),1
PairId(377),2
ResonanceId(753),1
ResonanceId(754),1
PairId(378),2
ResonanceId(755),1
ResonanceId(756),1
PairId(379),2
ResonanceId(757),1
ResonanceId(758),1
PairId(380),2
ResonanceId(759),1
ResonanceId(760),1
PairId(381),2
ResonanceId(761),1
ResonanceId(762),1
PairId(382),2
ResonanceId(763),1
ResonanceId(764),1
PairId(383),2
ResonanceId(765),1
ResonanceId(766),1
PairId(384),2
ResonanceId(767),1
ResonanceId(768),1
PairId(385),2
ResonanceId(769),1
ResonanceId(770),1
PairId(386),2
ResonanceId(771),1
ResonanceId(772),1
PairId(387),2
ResonanceId(773),1
ResonanceId(774),1
PairId(388),2
ResonanceId(775),1
ResonanceId(776),1
PairId(389),2
ResonanceId(777),1
ResonanceId(778),1
PairId(390),2
ResonanceId(779),1
ResonanceId(780),1
PairId(391),2
ResonanceId(781),1
ResonanceId(782),1
PairId(392),2
ResonanceId(783),1
ResonanceId(784),1
PairId(393),2
ResonanceId(785),1
ResonanceId(786),1
PairId(394),2
ResonanceId(787),1
ResonanceId(788),1
PairId(395),2
ResonanceId(789),1
ResonanceId(790),1
SliceId(8),3
PairId(395),2
ResonanceId(789),1
ResonanceId(790),1
PairId(396),2
ResonanceId(791),1
ResonanceId(792),1
PairId(397),2
ResonanceId(793),1
ResonanceId(794),1
PairId(398),2
ResonanceId(795),1
ResonanceId(796),1
PairId(399),2
ResonanceId(797),1
ResonanceId(798),1
PairId(400),2
ResonanceId(799),1
ResonanceId(800),1
PairId(401),2
ResonanceId(801),1
