,onset,duration,cluster,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
57794,74000,250,2,44100,0.1431232449176965,3.004636183140681,885.9429759187282,-0.5438927249776793,0.0200940568062433,(-0.14178305501554542+0.019540433624404743j),(5566.543889291511-3.417378778261622j),(0.9919672631106313-0.1258808077568886j)
57797,74000,250,0,44100,0.20594049379306,-2.667472636803718,442.73485066108,-0.0313277578127378,0.042364385881651,(-0.18322419208129673-0.09402330785441172j),(2781.7851086500464-0.1968381075958752j),(0.9980067231740053-0.06303692283912131j)
57880,74000,250,1,44100,0.0361373482862118,-0.8177580711206732,1328.8380384201437,0.7478637548651212,0.0013411780632495,(0.02471283887708281-0.026366333377895387j),(8349.33563862279+4.698966556340686j),(0.9822357051272517-0.18821835017051672j)
57973,74250,250,2,44100,0.1491797353152965,2.8256510083617785,885.4111390236102,-1.1361303019703288,0.0213812729044905,(-0.14179596798878413+0.046351881200935356j),(5563.20225952629-7.138517220381476j),(0.9918930997137376-0.12579502717349936j)
58058,74250,250,1,44100,0.0406143712541277,2.154505604873699,1329.0416869080318,0.5368302571020133,0.0016813456598833,(-0.022383507313270875+0.033889611280226724j),(8350.615199809718+3.373003983872809j),(0.9822007111116072-0.18824118968675313j)
58062,74250,250,0,44100,0.2060614847713021,0.4114535654400679,442.8480042758736,0.1998203802066095,0.0427637712156372,(0.18886368585777435+0.08241264266099904j),(2782.4960737799715+1.2555084769892075j),(0.9980385746768108-0.06305508891516189j)
58141,74500,250,2,44100,0.1431285898334285,2.716686364372474,885.2340815911664,-0.0342785037086694,0.0204609010702037,(-0.13040121889051143+0.059002672308758594j),(5562.089774868232-0.2153781908544131j),(0.9920520000757678-0.1257897510728389j)
58245,74500,250,1,44100,0.0413788328204329,-1.2146540634021483,1328.197369857079,1.9981319249658949,0.001839537953934,(0.014427192574765633-0.038782262956046865j),(8345.310199320567+12.554633152752174j),(0.9824278688355854-0.18816220602371564j)
58253,74500,250,0,44100,0.2070717871119214,-2.794911485033547,442.4337020784231,0.1851772045268002,0.043161654347779,(-0.19475216655148136-0.0703585008455195j),(2779.8929363002185+1.1635026907073802j),(0.9980402127452112-0.06299604509498856j)
58334,74750,250,0,44100,0.2091465475056906,0.2990542393969295,442.7561348415701,-0.2636334935358748,0.0433357100492289,(0.19986369369372922+0.061618035319614683j),(2781.918841100177-1.6564580930650328j),(0.9979735005785981-0.06303786281699966j)
58439,74750,250,1,44100,0.0438847408867415,1.748264335898422,1327.2763233688356,0.569117786644873,0.0019652841708545,(-0.007747320829227383+0.04319548011847375j),(8339.52309355841+3.575872515101633j),(0.9822525453248554-0.18799500376979492j)
58443,74750,250,2,44100,0.1426090592095919,2.606911173654188,885.2813707673182,0.4430180018834183,0.0206603625755846,(-0.12270525260587635+0.07266887058137733j),(5562.3869015250175+2.783564200249952j),(0.9921186175119341-0.12580498994035974j)
58543,75000,250,0,44100,0.2078728551619259,-2.9053103877213298,442.6606353542365,-0.1735338393702398,0.0429461908457515,(-0.20209710274568987-0.048660918353120905j),(2781.3188001245194-1.0903452698295533j),(0.9979871693072713-0.0630250930626704j)
58634,75000,250,1,44100,0.0447415243919637,-1.588399458894998,1327.841148678734,0.910549704822627,0.0020678867424402,(-0.0007875502896924035-0.04473459253707243j),(8343.071995646686+5.721152526798239j),(0.9822851963321034-0.18808319815918356j)
58640,75000,250,2,44100,0.1451698204522357,2.490550905903971,885.1911056931001,0.6638897633168668,0.0215785304111231,(-0.11547575687128346+0.08797514617855766j),(5561.819749336939+4.171342406459471j),(0.9921514567741054-0.1257961892999866j)
58729,75250,250,1,44100,0.0417573888646711,1.3535211481274478,1327.2868015248714,-1.440498804648438,0.0016575364525712,(0.009001626539462975+0.04077560844965283j),(8339.58892975446-9.050920924376822j),(0.9819710646454085-0.18794265036770347j)
58731,75250,250,2,44100,0.146952695553583,2.3795718120734275,884.9210475945338,-0.0574944259730814,0.0215511071632216,(-0.10631180055752956+0.1014539096963745j),(5560.122924259942-0.36124813251878946j),(0.9920543278533214-0.12574508971103388j)
58818,75250,250,0,44100,0.2069540512015208,0.1767323527085489,442.7857104387096,0.132880574353111,0.0430325229844642,(0.2037304199882824+0.03638537178757091j),(2782.1046700575744+0.8349132723850518j),(0.9980296157151519-0.06304562966485124j)
58911,75500,250,2,44100,0.1486725488146628,2.247393143871195,885.3429739342687,-0.5127476683361549,0.0217062943947992,(-0.09309030036748656+0.1159211919734241j),(5562.7739656384765-3.22168861598032j),(0.9919824223387825-0.12579656639562053j)
59005,75500,250,0,44100,0.2080242326931419,-3.027333263503183,442.68056161896806,0.0956406744789132,0.0434212435012806,(-0.20666780951921784-0.0237170380970883j),(2781.4440005383076+0.6009280806546531j),(0.9980252647771554-0.06303034358175472j)
