onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,1.3555297987875846e-07,-1.19235665410868,17647.60412691129,310.59142805680807,3.22930663512967e-06,(5.0082894714215956e-08-1.2596155767160015e-07j),(110883.16695713084+1951.503497302462j),(-0.846286493183414-0.6134633758099172j)
0,250,44100,8.952816046147813e-08,-2.165178929082039,-17497.375511987237,312.43430746048654,1.5963971520671866e-06,(-5.013553267279678e-08-7.417357938802133e-08j),(-109939.25273112209+1963.0826500945584j),(-0.8331818454097428+0.6316011649010944j)
0,250,44100,8.952816046147813e-08,2.165178929082039,17497.375511987237,312.43430746048654,1.5963971520671866e-06,(-5.013553267279678e-08+7.417357938802133e-08j),(109939.25273112209+1963.0826500945584j),(-0.8331818454097428-0.6316011649010944j)
0,250,44100,3.1808040092860714e-08,1.0296554712949038,-17334.46072867313,315.86597138613064,2.5439317187350003e-07,(1.6384772442772554e-08+2.7263357213439358e-08j),(-108915.62895828056+1984.6444304513436j),(-0.818698550878965+0.6510868862950447j)
0,250,44100,3.1808040092860714e-08,-1.0296554712949038,17334.46072867313,315.86597138613064,2.5439317187350003e-07,(1.6384772442772554e-08-2.7263357213439358e-08j),(108915.62895828056+1984.6444304513436j),(-0.818698550878965-0.6510868862950447j)
0,250,44100,3.622403975035092e-09,-1.2482587254074353,-16993.31982228914,368.5914908002476,1.200334203191112e-07,(1.1482090596898177e-09-3.4356115195982595e-09j),(-106772.17742761075+2315.9286393475354j),(-0.792026007217382+0.6952982090015831j)
0,250,44100,3.622403975035092e-09,1.2482587254074353,16993.31982228914,368.5914908002476,1.200334203191112e-07,(1.1482090596898177e-09+3.4356115195982595e-09j),(106772.17742761075+2315.9286393475354j),(-0.792026007217382-0.6952982090015831j)
0,250,44100,4.8188957228544e-08,2.2904547404465117,-16820.510987351787,325.1973341880219,1.1010126461663266e-06,(-3.1762682660258314e-08+3.623958593855853e-08j),(-105686.38749498154+2043.2751121041488j),(-0.7698939824214099+0.7101816621046527j)
0,250,44100,4.8188957228544e-08,-2.2904547404465117,16820.510987351787,325.1973341880219,1.1010126461663266e-06,(-3.1762682660258314e-08-3.623958593855853e-08j),(105686.38749498154+2043.2751121041488j),(-0.7698939824214099-0.7101816621046527j)
0,250,44100,6.427982341972801e-08,-1.340757348171861,-16671.037539387296,324.89455860166584,1.9191230406591302e-06,(1.4656794504507141e-08-6.258653268654577e-08j),(-104747.21812291759+2041.3727169885838j),(-0.7545637114512077+0.7263839848134114j)
0,250,44100,6.427982341972801e-08,1.340757348171861,16671.037539387296,324.89455860166584,1.9191230406591302e-06,(1.4656794504507141e-08+6.258653268654577e-08j),(104747.21812291759+2041.3727169885838j),(-0.7545637114512077-0.7263839848134114j)
